date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:17:33	68/68	---M-Z	200	added ('OK')	text/plain	date:Fri,%2023%20Aug%202019%2013:17:33%20GMT	https://www.ds.com.tn/robots.txt		(from )
13:17:34	131519/131519	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Aug%202019%2013:17:33%20GMT	https://www.ds.com.tn/	C:/Mes%20Sites%20Web/ds.sn.com/www.ds.com.tn/index.html	(from )
13:17:34	22719/22719	---M--	200	added ('OK')	image/png	etag:%2258bf-57f806641c5f6%22	https://www.ds.com.tn/wp-content/uploads/2018/09/des.png	C:/Mes%20Sites%20Web/ds.sn.com/www.ds.com.tn/wp-content/uploads/2018/09/des.png	(from https://www.ds.com.tn/)
13:17:39	29295/29295	---M-Z	200	added ('OK')	text/css	date:Thu,%2009%20May%202019%2006:20:28%20GMT	https://www.ds.com.tn/wp-includes/css/dist/block-library/style.min.css	C:/Mes%20Sites%20Web/ds.sn.com/www.ds.com.tn/wp-includes/css/dist/block-library/style.min.css	(from https://www.ds.com.tn/)
13:17:39	13273/13273	---M-Z	200	added ('OK')	application/rss+xml	etag:%224e61c6b5ff119cb03c8ccb8d40f4fe67-gzip%22	https://www.ds.com.tn/feed/	C:/Mes%20Sites%20Web/ds.sn.com/www.ds.com.tn/feed/index.html	(from https://www.ds.com.tn/)
13:17:39	787/787	---M-Z	200	added ('OK')	application/rss+xml	etag:%2247dcd885d9ba3ecec65ac04ff1c70730-gzip%22	https://www.ds.com.tn/comments/feed/	C:/Mes%20Sites%20Web/ds.sn.com/www.ds.com.tn/comments/feed/index.html	(from https://www.ds.com.tn/)
13:17:40	3304/3304	---M-Z	200	added ('OK')	application/font-woff	etag:%22ce8-59084d64be872-gzip%22	https://www.ds.com.tn/wp-content/themes/astra/assets/fonts/astra.woff	C:/Mes%20Sites%20Web/ds.sn.com/www.ds.com.tn/wp-content/themes/astra/assets/fonts/astra.woff	(from https://www.ds.com.tn/)
13:17:40	807966/807966	---MCZ	200	added ('OK')	text/css	etag:%22c541e-59084e81004c0-gzip%22	https://www.ds.com.tn/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-styles-e0a0f1183266ede11aa1c2208b770b8b.min.css	C:/Mes%20Sites%20Web/ds.sn.com/www.ds.com.tn/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-styles-e0a0f1183266ede11aa1c2208b770b8b.min.css	(from https://www.ds.com.tn/)
13:17:40	97628/97628	---M-Z	200	added ('OK')	text/css	etag:%2217d5c-58fe9a7274da0-gzip%22	https://www.ds.com.tn/wp-content/plugins/elementor/assets/css/frontend.min.css	C:/Mes%20Sites%20Web/ds.sn.com/www.ds.com.tn/wp-content/plugins/elementor/assets/css/frontend.min.css	(from https://www.ds.com.tn/)
13:17:41	54/54	---M--	200	added ('OK')	text/css	etag:%2236-58feab26973b6%22	https://www.ds.com.tn/wp-content/uploads/elementor/css/global.css	C:/Mes%20Sites%20Web/ds.sn.com/www.ds.com.tn/wp-content/uploads/elementor/css/global.css	(from https://www.ds.com.tn/)
13:17:41	40692/40692	---M-Z	200	added ('OK')	text/css	etag:%229ef3-58feab26c5218-gzip%22	https://www.ds.com.tn/wp-content/uploads/elementor/css/post-12.css	C:/Mes%20Sites%20Web/ds.sn.com/www.ds.com.tn/wp-content/uploads/elementor/css/post-12.css	(from https://www.ds.com.tn/)
13:17:41	12039/12039	---M-Z	200	added ('OK')	text/css	etag:%222f07-58feab26e51d2-gzip%22	https://www.ds.com.tn/wp-content/uploads/elementor/css/post-3114.css	C:/Mes%20Sites%20Web/ds.sn.com/www.ds.com.tn/wp-content/uploads/elementor/css/post-3114.css	(from https://www.ds.com.tn/)
13:17:42	96873/96873	---M-Z	200	added ('OK')	application/x-javascript	etag:%2217a69-5896f8f9938d5-gzip%22	https://www.ds.com.tn/wp-includes/js/jquery/jquery.js	C:/Mes%20Sites%20Web/ds.sn.com/www.ds.com.tn/wp-includes/js/jquery/jquery.js	(from https://www.ds.com.tn/)
13:17:42	10056/10056	---M-Z	200	added ('OK')	application/x-javascript	etag:%222748-53342e5188200-gzip%22	https://www.ds.com.tn/wp-includes/js/jquery/jquery-migrate.min.js	C:/Mes%20Sites%20Web/ds.sn.com/www.ds.com.tn/wp-includes/js/jquery/jquery-migrate.min.js	(from https://www.ds.com.tn/)
13:17:43	129/129	---M-Z	200	added ('OK')	application/x-javascript	etag:%2281-58b655bee57bc-gzip%22	https://www.ds.com.tn/wp-content/plugins/add-to-any/addtoany.min.js	C:/Mes%20Sites%20Web/ds.sn.com/www.ds.com.tn/wp-content/plugins/add-to-any/addtoany.min.js	(from https://www.ds.com.tn/)
13:17:43	107534/107534	---M-Z	200	added ('OK')	application/x-javascript	etag:%221a40e-5770379d2083a-gzip%22	https://www.ds.com.tn/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js	C:/Mes%20Sites%20Web/ds.sn.com/www.ds.com.tn/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js	(from https://www.ds.com.tn/)
13:17:43	63323/63323	---M-Z	200	added ('OK')	application/x-javascript	etag:%22f75b-5770379d2083a-gzip%22	https://www.ds.com.tn/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js	C:/Mes%20Sites%20Web/ds.sn.com/www.ds.com.tn/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js	(from https://www.ds.com.tn/)
13:17:44	14974/14974	---M-Z	200	added ('OK')	application/x-javascript	etag:%223a7e-58fe9a7276510-gzip%22	https://www.ds.com.tn/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js	C:/Mes%20Sites%20Web/ds.sn.com/www.ds.com.tn/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js	(from https://www.ds.com.tn/)
13:17:44	761/761	---M-Z	200	added ('OK')	text/xml	date:Fri,%2023%20Aug%202019%2013:17:44%20GMT	https://www.ds.com.tn/xmlrpc.php?rsd	C:/Mes%20Sites%20Web/ds.sn.com/www.ds.com.tn/xmlrpc0db0.php	(from https://www.ds.com.tn/)
13:17:45	86521/86521	---M-Z	200	added ('OK')	application/json	date:Fri,%2023%20Aug%202019%2013:17:45%20GMT	https://www.ds.com.tn/wp-json/	C:/Mes%20Sites%20Web/ds.sn.com/www.ds.com.tn/wp-json/index.html	(from https://www.ds.com.tn/)
13:17:45	1045/1045	---M-Z	200	added ('OK')	text/xml	etag:%22415-4ed4b4b824000-gzip%22	https://www.ds.com.tn/wp-includes/wlwmanifest.xml	C:/Mes%20Sites%20Web/ds.sn.com/www.ds.com.tn/wp-includes/wlwmanifest.xml	(from https://www.ds.com.tn/)
13:17:46	2074/2074	---M-Z	200	added ('OK')	application/json	date:Fri,%2023%20Aug%202019%2013:17:45%20GMT	https://www.ds.com.tn/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.ds.com.tn%2F	C:/Mes%20Sites%20Web/ds.sn.com/www.ds.com.tn/wp-json/oembed/1.0/embed838c.json	(from https://www.ds.com.tn/)
13:17:47	2328/2328	---M-Z	200	added ('OK')	text/xml	date:Fri,%2023%20Aug%202019%2013:17:47%20GMT	https://www.ds.com.tn/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.ds.com.tn%2F&format=xml	C:/Mes%20Sites%20Web/ds.sn.com/www.ds.com.tn/wp-json/oembed/1.0/embedf5f7	(from https://www.ds.com.tn/)
